# Repository directory tree
# Generated UTC: 2026-05-20T10:32:02.2218664Z
# Contains: directories only. Machine-readable equivalent: dir_tree.json

.
├── .aide/
│   ├── adapters/
│   │   └── templates/
│   ├── cache/
│   ├── changelog/
│   │   └── templates/
│   ├── commands/
│   ├── context/
│   ├── controller/
│   ├── evals/
│   │   ├── golden-tasks/
│   │   │   ├── intent_compile_install_prompt_golden/
│   │   │   ├── intent_compile_overbroad_prompt_golden/
│   │   │   ├── intent_compile_vague_prompt_golden/
│   │   │   ├── intent_packet_schema_golden/
│   │   │   ├── malformed_commit_reporting_golden/
│   │   │   ├── migration_ledger_policy_golden/
│   │   │   ├── migration_ledger_schema_golden/
│   │   │   ├── migration_policy_golden/
│   │   │   ├── move_map_policy_golden/
│   │   │   ├── move_map_schema_golden/
│   │   │   ├── path_alias_policy_golden/
│   │   │   ├── path_alias_schema_golden/
│   │   │   ├── promotion_rules_golden/
│   │   │   ├── prune_policy_golden/
│   │   │   ├── quality_ledger_generation_golden/
│   │   │   ├── quality_no_delete_recommendation_golden/
│   │   │   ├── refactor_map_no_apply_golden/
│   │   │   ├── refactor_no_apply_golden/
│   │   │   ├── refactor_plan_schema_golden/
│   │   │   ├── refactor_policy_golden/
│   │   │   ├── reference_rewrite_plan_golden/
│   │   │   ├── release_archive_generation_golden/
│   │   │   ├── release_asset_schema_golden/
│   │   │   ├── release_bundle_policy_golden/
│   │   │   ├── release_checksum_validation_golden/
│   │   │   ├── release_fixture_extraction_golden/
│   │   │   ├── release_forbidden_paths_excluded_golden/
│   │   │   ├── release_manifest_schema_golden/
│   │   │   ├── release_no_publish_golden/
│   │   │   ├── release_notes_preview_golden/
│   │   │   ├── repair_blocks_local_state_and_secrets_golden/
│   │   │   ├── repair_classes_golden/
│   │   │   ├── repair_doctor_schema_golden/
│   │   │   ├── repair_dry_run_schema_golden/
│   │   │   ├── repair_no_apply_golden/
│   │   │   ├── repair_plan_schema_golden/
│   │   │   ├── repair_policy_golden/
│   │   │   ├── repair_preserves_target_state_golden/
│   │   │   ├── repo_dependency_map_golden/
│   │   │   ├── repo_doc_link_map_golden/
│   │   │   ├── repo_explain_file_golden/
│   │   │   ├── repo_intelligence_no_local_state_golden/
│   │   │   ├── repo_inventory_schema_golden/
│   │   │   ├── repo_ownership_map_golden/
│   │   │   ├── reuse_modularity_report_golden/
│   │   │   ├── review-packet-evidence-only/
│   │   │   ├── rollback_no_apply_golden/
│   │   │   ├── rollback_plan_schema_golden/
│   │   │   ├── rollback_policy_golden/
│   │   │   ├── root_exception_schema_golden/
│   │   │   ├── root_fate_no_delete_approval_golden/
│   │   │   ├── root_file_classification_schema_golden/
│   │   │   ├── root_inventory_schema_golden/
│   │   │   ├── root_record_schema_golden/
│   │   │   ├── root_recycling_plan_schema_golden/
│   │   │   ├── root_recycling_policy_golden/
│   │   │   ├── roots_no_apply_golden/
│   │   │   ├── salvage_map_policy_golden/
│   │   │   ├── salvage_map_schema_golden/
│   │   │   ├── sync_policy_golden/
│   │   │   ├── task_resumption_standard_golden/
│   │   │   ├── test_coverage_map_golden/
│   │   │   ├── token-ledger-budget-check/
│   │   │   ├── tool_absorption_policy_golden/
│   │   │   ├── tool_adapter_map_schema_golden/
│   │   │   ├── tool_fate_no_delete_approval_golden/
│   │   │   ├── tool_inventory_schema_golden/
│   │   │   ├── tool_record_schema_golden/
│   │   │   ├── tool_wrap_plan_schema_golden/
│   │   │   ├── tools_no_execution_golden/
│   │   │   ├── uninstall_no_apply_golden/
│   │   │   ├── uninstall_no_blanket_aide_delete_golden/
│   │   │   ├── uninstall_plan_schema_golden/
│   │   │   ├── uninstall_policy_golden/
│   │   │   ├── uninstall_preserves_target_state_golden/
│   │   │   ├── upgrade_compatibility_policy_golden/
│   │   │   ├── upgrade_dry_run_schema_golden/
│   │   │   ├── upgrade_mandatory_migration_gate_golden/
│   │   │   ├── upgrade_no_apply_golden/
│   │   │   ├── upgrade_no_source_state_leak_golden/
│   │   │   ├── upgrade_plan_schema_golden/
│   │   │   ├── upgrade_policy_golden/
│   │   │   ├── upgrade_preserves_target_state_golden/
│   │   │   ├── verifier-detects-bad-evidence/
│   │   │   │   └── fixtures/
│   │   │   ├── workunit_idempotency_golden/
│   │   │   └── workunit_sizing_policy_golden/
│   │   └── runs/
│   ├── gateway/
│   ├── git/
│   ├── github/
│   ├── hooks/
│   ├── import/
│   ├── install/
│   ├── intake/
│   ├── ledgers/
│   ├── memory/
│   ├── models/
│   ├── policies/
│   ├── prompts/
│   ├── providers/
│   ├── quality/
│   ├── queue/
│   │   ├── DCHECK-01-dominium-aide-operating-baseline-audit/
│   │   │   ├── command-logs/
│   │   │   └── final-command-logs/
│   │   ├── DOMINIUM-AIDE-BASELINE-REPAIR-01/
│   │   ├── DOMINIUM-AIDE-FRESH-PREFLIGHT-01/
│   │   ├── DOMINIUM-AIDE-OPERATING-BASELINE-01/
│   │   │   ├── command-logs/
│   │   │   ├── command-logs-final/
│   │   │   └── logs/
│   │   ├── DOMINIUM-AIDE-PILOT-01/
│   │   ├── DOMINIUM-AIDE-ROOT-RECYCLING-01/
│   │   ├── DOMINIUM-AIDE-STABLE-INSTALL-01/
│   │   ├── DOMINIUM-AIDE-SYNC-01/
│   │   └── DOMINIUM-AIDE-TOOL-ABSORPTION-01/
│   ├── refactors/
│   ├── release/
│   ├── repair/
│   ├── repo/
│   ├── reports/
│   │   └── roots/
│   ├── rollback/
│   ├── roots/
│   ├── routing/
│   │   └── examples/
│   ├── scripts/
│   │   └── tests/
│   ├── tools/
│   │   ├── command-contracts/
│   │   ├── wrapper-contracts/
│   │   └── wrapper-plans/
│   ├── uninstall/
│   ├── upgrade/
│   └── verification/
├── .aide.local.example/
│   ├── cache/
│   ├── ledgers/
│   └── traces/
├── .github/
│   └── workflows/
├── .vscode/
├── apps/
│   ├── client/
│   │   ├── adapters/
│   │   └── local_server/
│   ├── launcher/
│   │   ├── cli/
│   │   ├── include/
│   │   │   └── launcher/
│   │   │       └── _internal/
│   │   │           ├── dom_launcher/
│   │   │           └── launcher_internal/
│   │   ├── lifecycle/
│   │   └── tui/
│   ├── server/
│   ├── setup/
│   │   ├── cli/
│   │   ├── include/
│   │   │   ├── dsk/
│   │   │   └── dsu/
│   │   │       └── _internal/
│   │   │           └── dom_setup/
│   │   ├── lifecycle/
│   │   └── tui/
│   └── workbench/
│       └── module/
│           ├── domain/
│           │   ├── item/
│           │   ├── technology/
│           │   ├── transport/
│           │   └── universe/
│           ├── game/
│           │   └── editor/
│           ├── inspection/
│           │   └── inspector/
│           ├── launcher/
│           │   └── editor/
│           ├── network/
│           │   └── inspector/
│           ├── observability/
│           │   └── inspector/
│           ├── pack/
│           │   └── editor/
│           ├── policy/
│           │   └── editor/
│           ├── process/
│           │   └── editor/
│           ├── replay/
│           │   ├── analyzer/
│           │   └── viewer/
│           ├── save/
│           │   ├── editor/
│           │   └── inspector/
│           ├── schema/
│           │   ├── blueprint/
│           │   └── structure/
│           ├── tooling/
│           │   ├── editor/
│           │   └── host/
│           │       └── win32/
│           ├── ui/
│           │   ├── doc/
│           │   ├── editor/
│           │   │   └── user/
│           │   ├── preview/
│           │   │   ├── linux/
│           │   │   ├── macos/
│           │   │   ├── native/
│           │   │   ├── service/
│           │   │   └── win32/
│           │   └── registry/
│           └── world/
│               └── editor/
├── archive/
│   ├── audits/
│   │   └── data/
│   ├── generated/
│   │   ├── agents/
│   │   ├── aide/
│   │   │   ├── export/
│   │   │   │   └── aide-lite-pack-v0/
│   │   │   │       └── files/
│   │   │   │           ├── .aide/
│   │   │   │           │   ├── adapters/
│   │   │   │           │   │   └── templates/
│   │   │   │           │   ├── cache/
│   │   │   │           │   ├── changelog/
│   │   │   │           │   │   └── templates/
│   │   │   │           │   ├── commands/
│   │   │   │           │   ├── context/
│   │   │   │           │   ├── evals/
│   │   │   │           │   │   └── golden-tasks/
│   │   │   │           │   │       ├── adapter-managed-section-determinism/
│   │   │   │           │   │       ├── branch_role_detection_golden/
│   │   │   │           │   │       ├── changelog_json_shape_golden/
│   │   │   │           │   │       ├── changelog_preview_golden/
│   │   │   │           │   │       ├── commit_message_standard_golden/
│   │   │   │           │   │       ├── compact-task-packet-required-sections/
│   │   │   │           │   │       ├── context-packet-no-full-repo-dump/
│   │   │   │           │   │       ├── docs_consistency_report_golden/
│   │   │   │           │   │       ├── drop_candidate_not_delete_approval_golden/
│   │   │   │           │   │       ├── export_pack_commit_policy_inclusion_golden/
│   │   │   │           │   │       ├── export_pack_excludes_source_branch_state_golden/
│   │   │   │           │   │       ├── export_pack_git_policy_inclusion_golden/
│   │   │   │           │   │       ├── export_pack_task_recovery_inclusion_golden/
│   │   │   │           │   │       ├── file_classification_policy_golden/
│   │   │   │           │   │       ├── file_quality_ledger_schema_golden/
│   │   │   │           │   │       ├── file_quality_policy_golden/
│   │   │   │           │   │       ├── fixture_import_governance_commands_golden/
│   │   │   │           │   │       ├── git_helper_policy_golden/
│   │   │   │           │   │       ├── git_land_plan_golden/
│   │   │   │           │   │       ├── git_live_repo_no_mutation_golden/
│   │   │   │           │   │       ├── git_promote_plan_golden/
│   │   │   │           │   │       ├── git_prune_guard_golden/
│   │   │   │           │   │       ├── git_workflow_policy_golden/
│   │   │   │           │   │       ├── github_ci_advisory_golden/
│   │   │   │           │   │       ├── github_export_inclusion_golden/
│   │   │   │           │   │       ├── github_protection_policy_golden/
│   │   │   │           │   │       ├── github_release_asset_schema_golden/
│   │   │   │           │   │       ├── github_release_assets_have_checksums_golden/
│   │   │   │           │   │       ├── github_release_checklist_golden/
│   │   │   │           │   │       ├── github_release_draft_policy_golden/
│   │   │   │           │   │       ├── github_release_draft_schema_golden/
│   │   │   │           │   │       ├── github_release_no_publish_golden/
│   │   │   │           │   │       ├── github_release_upload_plan_golden/
│   │   │   │           │   │       ├── github_report_only_golden/
│   │   │   │           │   │       ├── install_conflict_report_schema_golden/
│   │   │   │           │   │       ├── install_no_apply_golden/
│   │   │   │           │   │       ├── install_no_source_state_leak_golden/
│   │   │   │           │   │       ├── install_ownership_ledger_schema_golden/
│   │   │   │           │   │       ├── install_plan_schema_golden/
│   │   │   │           │   │       ├── install_policy_golden/
│   │   │   │           │   │       ├── install_preservation_policy_golden/
│   │   │   │           │   │       ├── install_preserves_target_state_golden/
│   │   │   │           │   │       ├── intent_compile_destructive_prompt_golden/
│   │   │   │           │   │       ├── intent_compile_git_prompt_golden/
│   │   │   │           │   │       ├── intent_compile_install_prompt_golden/
│   │   │   │           │   │       ├── intent_compile_overbroad_prompt_golden/
│   │   │   │           │   │       ├── intent_compile_vague_prompt_golden/
│   │   │   │           │   │       ├── intent_packet_schema_golden/
│   │   │   │           │   │       ├── malformed_commit_reporting_golden/
│   │   │   │           │   │       ├── migration_ledger_policy_golden/
│   │   │   │           │   │       ├── migration_ledger_schema_golden/
│   │   │   │           │   │       ├── migration_policy_golden/
│   │   │   │           │   │       ├── move_map_policy_golden/
│   │   │   │           │   │       ├── move_map_schema_golden/
│   │   │   │           │   │       ├── path_alias_policy_golden/
│   │   │   │           │   │       ├── path_alias_schema_golden/
│   │   │   │           │   │       ├── promotion_rules_golden/
│   │   │   │           │   │       ├── prune_policy_golden/
│   │   │   │           │   │       ├── quality_ledger_generation_golden/
│   │   │   │           │   │       ├── quality_no_delete_recommendation_golden/
│   │   │   │           │   │       ├── refactor_map_no_apply_golden/
│   │   │   │           │   │       ├── refactor_no_apply_golden/
│   │   │   │           │   │       ├── refactor_plan_schema_golden/
│   │   │   │           │   │       ├── refactor_policy_golden/
│   │   │   │           │   │       ├── reference_rewrite_plan_golden/
│   │   │   │           │   │       ├── release_archive_generation_golden/
│   │   │   │           │   │       ├── release_asset_schema_golden/
│   │   │   │           │   │       ├── release_bundle_policy_golden/
│   │   │   │           │   │       ├── release_checksum_validation_golden/
│   │   │   │           │   │       ├── release_fixture_extraction_golden/
│   │   │   │           │   │       ├── release_forbidden_paths_excluded_golden/
│   │   │   │           │   │       ├── release_manifest_schema_golden/
│   │   │   │           │   │       ├── release_no_publish_golden/
│   │   │   │           │   │       ├── release_notes_preview_golden/
│   │   │   │           │   │       ├── repair_blocks_local_state_and_secrets_golden/
│   │   │   │           │   │       ├── repair_classes_golden/
│   │   │   │           │   │       ├── repair_doctor_schema_golden/
│   │   │   │           │   │       ├── repair_dry_run_schema_golden/
│   │   │   │           │   │       ├── repair_no_apply_golden/
│   │   │   │           │   │       ├── repair_plan_schema_golden/
│   │   │   │           │   │       ├── repair_policy_golden/
│   │   │   │           │   │       ├── repair_preserves_target_state_golden/
│   │   │   │           │   │       ├── repo_dependency_map_golden/
│   │   │   │           │   │       ├── repo_doc_link_map_golden/
│   │   │   │           │   │       ├── repo_explain_file_golden/
│   │   │   │           │   │       ├── repo_intelligence_no_local_state_golden/
│   │   │   │           │   │       ├── repo_inventory_schema_golden/
│   │   │   │           │   │       ├── repo_ownership_map_golden/
│   │   │   │           │   │       ├── reuse_modularity_report_golden/
│   │   │   │           │   │       ├── review-packet-evidence-only/
│   │   │   │           │   │       ├── rollback_no_apply_golden/
│   │   │   │           │   │       ├── rollback_plan_schema_golden/
│   │   │   │           │   │       ├── rollback_policy_golden/
│   │   │   │           │   │       ├── root_exception_schema_golden/
│   │   │   │           │   │       ├── root_fate_no_delete_approval_golden/
│   │   │   │           │   │       ├── root_file_classification_schema_golden/
│   │   │   │           │   │       ├── root_inventory_schema_golden/
│   │   │   │           │   │       ├── root_record_schema_golden/
│   │   │   │           │   │       ├── root_recycling_plan_schema_golden/
│   │   │   │           │   │       ├── root_recycling_policy_golden/
│   │   │   │           │   │       ├── roots_no_apply_golden/
│   │   │   │           │   │       ├── salvage_map_policy_golden/
│   │   │   │           │   │       ├── salvage_map_schema_golden/
│   │   │   │           │   │       ├── sync_policy_golden/
│   │   │   │           │   │       ├── task_resumption_standard_golden/
│   │   │   │           │   │       ├── test_coverage_map_golden/
│   │   │   │           │   │       ├── token-ledger-budget-check/
│   │   │   │           │   │       ├── tool_absorption_policy_golden/
│   │   │   │           │   │       ├── tool_adapter_map_schema_golden/
│   │   │   │           │   │       ├── tool_fate_no_delete_approval_golden/
│   │   │   │           │   │       ├── tool_inventory_schema_golden/
│   │   │   │           │   │       ├── tool_record_schema_golden/
│   │   │   │           │   │       ├── tool_wrap_plan_schema_golden/
│   │   │   │           │   │       ├── tools_no_execution_golden/
│   │   │   │           │   │       ├── uninstall_no_apply_golden/
│   │   │   │           │   │       ├── uninstall_no_blanket_aide_delete_golden/
│   │   │   │           │   │       ├── uninstall_plan_schema_golden/
│   │   │   │           │   │       ├── uninstall_policy_golden/
│   │   │   │           │   │       ├── uninstall_preserves_target_state_golden/
│   │   │   │           │   │       ├── upgrade_compatibility_policy_golden/
│   │   │   │           │   │       ├── upgrade_dry_run_schema_golden/
│   │   │   │           │   │       ├── upgrade_mandatory_migration_gate_golden/
│   │   │   │           │   │       ├── upgrade_no_apply_golden/
│   │   │   │           │   │       ├── upgrade_no_source_state_leak_golden/
│   │   │   │           │   │       ├── upgrade_plan_schema_golden/
│   │   │   │           │   │       ├── upgrade_policy_golden/
│   │   │   │           │   │       ├── upgrade_preserves_target_state_golden/
│   │   │   │           │   │       ├── verifier-detects-bad-evidence/
│   │   │   │           │   │       │   └── fixtures/
│   │   │   │           │   │       ├── workunit_idempotency_golden/
│   │   │   │           │   │       └── workunit_sizing_policy_golden/
│   │   │   │           │   ├── gateway/
│   │   │   │           │   ├── git/
│   │   │   │           │   ├── github/
│   │   │   │           │   ├── hooks/
│   │   │   │           │   ├── install/
│   │   │   │           │   ├── intake/
│   │   │   │           │   ├── memory/
│   │   │   │           │   ├── models/
│   │   │   │           │   ├── policies/
│   │   │   │           │   ├── prompts/
│   │   │   │           │   ├── providers/
│   │   │   │           │   ├── quality/
│   │   │   │           │   ├── queue/
│   │   │   │           │   ├── refactors/
│   │   │   │           │   ├── release/
│   │   │   │           │   ├── repair/
│   │   │   │           │   ├── repo/
│   │   │   │           │   ├── reports/
│   │   │   │           │   ├── rollback/
│   │   │   │           │   ├── roots/
│   │   │   │           │   ├── routing/
│   │   │   │           │   │   └── examples/
│   │   │   │           │   ├── scripts/
│   │   │   │           │   │   └── tests/
│   │   │   │           │   ├── tools/
│   │   │   │           │   ├── uninstall/
│   │   │   │           │   ├── upgrade/
│   │   │   │           │   └── verification/
│   │   │   │           ├── .aide.local.example/
│   │   │   │           │   ├── cache/
│   │   │   │           │   ├── ledgers/
│   │   │   │           │   └── traces/
│   │   │   │           └── docs/
│   │   │   │               └── reference/
│   │   │   ├── generated/
│   │   │   │   └── adapters/
│   │   │   │       ├── continue-checks/
│   │   │   │       ├── cursor-rules/
│   │   │   │       └── windsurf-rules/
│   │   │   └── queue/
│   │   │       ├── DCHECK-01-dominium-aide-operating-baseline-audit/
│   │   │       │   └── evidence/
│   │   │       │       ├── command-logs-current/
│   │   │       │       ├── command-logs-rerun/
│   │   │       │       └── final-command-logs-rerun/
│   │   │       ├── DOMINIUM-AIDE-BASELINE-REPAIR-01/
│   │   │       │   └── evidence/
│   │   │       ├── DOMINIUM-AIDE-FRESH-PREFLIGHT-01/
│   │   │       │   └── evidence/
│   │   │       ├── DOMINIUM-AIDE-OPERATING-BASELINE-01/
│   │   │       │   └── evidence/
│   │   │       ├── DOMINIUM-AIDE-ROOT-RECYCLING-01/
│   │   │       │   └── evidence/
│   │   │       ├── DOMINIUM-AIDE-STABLE-INSTALL-01/
│   │   │       │   └── evidence/
│   │   │       ├── DOMINIUM-AIDE-SYNC-01/
│   │   │       │   └── evidence/
│   │   │       └── DOMINIUM-AIDE-TOOL-ABSORPTION-01/
│   │   │           └── evidence/
│   │   ├── analysis/
│   │   ├── architecture/
│   │   ├── artifacts/
│   │   │   └── toolchain_runs/
│   │   │       └── winnt-msvc-x86_64-vs2026/
│   │   │           └── run.5ea8970d1739f5c2/
│   │   ├── audit/
│   │   │   └── convergence_steps/
│   │   ├── blueprint/
│   │   ├── performance/
│   │   ├── refactor/
│   │   ├── release/
│   │   ├── repo/
│   │   ├── restructure/
│   │   ├── workbench/
│   │   │   └── tool_editor/
│   │   │       ├── generated/
│   │   │       └── user/
│   │   └── xstack/
│   ├── historical/
│   │   ├── attic/
│   │   │   └── src_quarantine/
│   │   │       ├── legacy/
│   │   │       │   └── source/
│   │   │       │       └── provider/
│   │   │       └── src/
│   │   │           └── worldgen/
│   │   ├── content/
│   │   │   └── world/
│   │   │       ├── milky_way/
│   │   │       └── sol/
│   │   │           ├── earth/
│   │   │           │   ├── earth.climate/
│   │   │           │   ├── earth.regions/
│   │   │           │   └── earth.surfaces/
│   │   │           ├── sol.belts/
│   │   │           ├── sol.bodies/
│   │   │           └── sol.moons/
│   │   └── labs/
│   ├── legacy/
│   │   ├── _orphaned/
│   │   │   ├── engine_has_launcher_module/
│   │   │   │   └── launcher/
│   │   │   ├── legacy_source_common/
│   │   │   │   └── common/
│   │   │   ├── legacy_source_game/
│   │   │   │   └── game/
│   │   │   │       ├── _legacy/
│   │   │   │       │   └── sdk/
│   │   │   │       ├── cli/
│   │   │   │       │   └── server/
│   │   │   │       ├── content/
│   │   │   │       ├── core/
│   │   │   │       │   ├── app_mode/
│   │   │   │       │   └── client/
│   │   │   │       │       └── input/
│   │   │   │       ├── frontends/
│   │   │   │       │   ├── gui/
│   │   │   │       │   ├── headless/
│   │   │   │       │   └── tui/
│   │   │   │       ├── gui/
│   │   │   │       │   └── dom_sdl/
│   │   │   │       ├── rules/
│   │   │   │       ├── runtime/
│   │   │   │       └── ui/
│   │   │   └── temp_files/
│   │   ├── _orphaned_stage2/
│   │   │   ├── tools_common/
│   │   │   └── tools_core/
│   │   ├── data/
│   │   │   └── tools_demo/
│   │   ├── engine_core_dominium/
│   │   ├── engine_core_launcher/
│   │   ├── engine_modules_engine/
│   │   │   └── engine/
│   │   │       ├── agent/
│   │   │       │   ├── act/
│   │   │       │   ├── group/
│   │   │       │   └── mind/
│   │   │       ├── app/
│   │   │       ├── cli/
│   │   │       ├── decor/
│   │   │       │   ├── compile/
│   │   │       │   └── model/
│   │   │       ├── gui/
│   │   │       ├── io/
│   │   │       │   └── container/
│   │   │       ├── mod/
│   │   │       │   └── host/
│   │   │       ├── pkg/
│   │   │       ├── render/
│   │   │       │   ├── api/
│   │   │       │   │   ├── core/
│   │   │       │   │   └── ui/
│   │   │       │   ├── cga/
│   │   │       │   ├── dx/
│   │   │       │   │   └── dx9/
│   │   │       │   ├── dx11/
│   │   │       │   ├── dx7/
│   │   │       │   ├── dx9/
│   │   │       │   ├── ega/
│   │   │       │   ├── gdi/
│   │   │       │   ├── gl2/
│   │   │       │   ├── herc/
│   │   │       │   ├── mda/
│   │   │       │   ├── metal/
│   │   │       │   ├── null/
│   │   │       │   ├── quartz/
│   │   │       │   ├── quickdraw/
│   │   │       │   ├── soft/
│   │   │       │   │   ├── core/
│   │   │       │   │   └── targets/
│   │   │       │   │       ├── null/
│   │   │       │   │       └── win32/
│   │   │       │   ├── vesa/
│   │   │       │   ├── vga/
│   │   │       │   ├── vk1/
│   │   │       │   └── xga/
│   │   │       ├── sim/
│   │   │       │   ├── _legacy/
│   │   │       │   │   └── core_sim/
│   │   │       │   ├── api/
│   │   │       │   ├── bus/
│   │   │       │   ├── hash/
│   │   │       │   ├── know/
│   │   │       │   ├── prop/
│   │   │       │   ├── replay/
│   │   │       │   │   └── serialize/
│   │   │       │   ├── sense/
│   │   │       │   └── vis/
│   │   │       ├── struct/
│   │   │       │   ├── compile/
│   │   │       │   ├── model/
│   │   │       │   └── phys/
│   │   │       ├── system/
│   │   │       │   ├── _legacy/
│   │   │       │   │   └── scratch/
│   │   │       │   ├── core/
│   │   │       │   │   ├── audio/
│   │   │       │   │   ├── base/
│   │   │       │   │   │   ├── dom_core/
│   │   │       │   │   │   └── shared/
│   │   │       │   │   └── math/
│   │   │       │   └── plat/
│   │   │       │       ├── carbon/
│   │   │       │       ├── cocoa/
│   │   │       │       ├── cpm80/
│   │   │       │       ├── cpm86/
│   │   │       │       ├── dos16/
│   │   │       │       ├── dos32/
│   │   │       │       ├── mac/
│   │   │       │       │   └── cocoa/
│   │   │       │       ├── null/
│   │   │       │       ├── posix/
│   │   │       │       ├── sdl/
│   │   │       │       │   ├── sdl1/
│   │   │       │       │   └── sdl2/
│   │   │       │       ├── sdl1/
│   │   │       │       ├── sdl2/
│   │   │       │       ├── unix/
│   │   │       │       │   ├── posix/
│   │   │       │       │   │   └── posix_headless/
│   │   │       │       │   ├── wayland/
│   │   │       │       │   └── x11/
│   │   │       │       ├── wayland/
│   │   │       │       ├── win16/
│   │   │       │       ├── win32/
│   │   │       │       ├── windows/
│   │   │       │       │   └── win32/
│   │   │       │       └── x11/
│   │   │       ├── trans/
│   │   │       │   ├── compile/
│   │   │       │   └── model/
│   │   │       ├── ui_codegen/
│   │   │       │   └── tests/
│   │   │       ├── ui_ir/
│   │   │       │   └── tests/
│   │   │       └── world/
│   │   │           └── domain/
│   │   ├── external/
│   │   │   └── xxhash/
│   │   ├── include/
│   │   │   └── dsu/
│   │   ├── launcher_core_launcher/
│   │   │   └── launcher/
│   │   │       ├── adapters/
│   │   │       │   └── winnt/
│   │   │       │       ├── cli/
│   │   │       │       ├── gui/
│   │   │       │       └── tui/
│   │   │       ├── core/
│   │   │       │   ├── artifact/
│   │   │       │   ├── audit/
│   │   │       │   ├── include/
│   │   │       │   ├── installed_state/
│   │   │       │   ├── instance/
│   │   │       │   ├── job/
│   │   │       │   ├── launch/
│   │   │       │   ├── log/
│   │   │       │   ├── pack/
│   │   │       │   ├── profile/
│   │   │       │   ├── run/
│   │   │       │   ├── safety/
│   │   │       │   ├── selection/
│   │   │       │   ├── task/
│   │   │       │   ├── tests/
│   │   │       │   ├── tlv/
│   │   │       │   └── tool/
│   │   │       ├── schemas/
│   │   │       └── tests/
│   │   ├── setup_core_setup/
│   │   │   └── setup/
│   │   │       ├── adapters/
│   │   │       │   ├── linux/
│   │   │       │   │   └── package/
│   │   │       │   │       ├── deb/
│   │   │       │   │       │   ├── debian/
│   │   │       │   │       │   └── packaging/
│   │   │       │   │       ├── pacman/
│   │   │       │   │       ├── rpm/
│   │   │       │   │       │   └── packaging/
│   │   │       │   │       └── tarball/
│   │   │       │   ├── macosx/
│   │   │       │   │   ├── gui/
│   │   │       │   │   │   └── xcode/
│   │   │       │   │   │       ├── DominiumSetupMac.xcodeproj/
│   │   │       │   │   │       └── DominiumSetupMacApp/
│   │   │       │   │   │           └── Resources/
│   │   │       │   │   │               ├── Assets.xcassets/
│   │   │       │   │   │               │   └── AppIcon.appiconset/
│   │   │       │   │   │               └── Base.lproj/
│   │   │       │   │   └── package/
│   │   │       │   ├── steam/
│   │   │       │   │   └── steamworks/
│   │   │       │   └── winnt/
│   │   │       │       ├── cli/
│   │   │       │       ├── package/
│   │   │       │       │   ├── exe/
│   │   │       │       │   │   └── vs/
│   │   │       │       │   └── msi/
│   │   │       │       │       ├── vs/
│   │   │       │       │       └── wix/
│   │   │       │       ├── tui/
│   │   │       │       └── wix/
│   │   │       ├── core/
│   │   │       │   ├── api/
│   │   │       │   ├── audit/
│   │   │       │   ├── contracts/
│   │   │       │   ├── digest/
│   │   │       │   ├── errors/
│   │   │       │   ├── fs/
│   │   │       │   ├── import/
│   │   │       │   ├── include/
│   │   │       │   │   ├── dsk/
